held_out,family,n_test,accuracy,balanced_acc,macro_f1,weighted_f1
Benign::rep1,Benign,15,1.0,1.0,1.0,1.0
Benign::rep10,Benign,5,1.0,1.0,1.0,1.0
Benign::rep2,Benign,15,1.0,1.0,1.0,1.0
Benign::rep3,Benign,15,1.0,1.0,1.0,1.0
Benign::rep4,Benign,15,1.0,1.0,1.0,1.0
Benign::rep5,Benign,15,1.0,1.0,1.0,1.0
Benign::rep6,Benign,5,1.0,1.0,1.0,1.0
Benign::rep7,Benign,5,1.0,1.0,1.0,1.0
Benign::rep8,Benign,5,1.0,1.0,1.0,1.0
Benign::rep9,Benign,5,1.0,1.0,1.0,1.0
Cerber::rep1,Cerber,18,0.9444,0.9333,0.9471,0.9427
Cerber::rep2,Cerber,20,0.95,0.9697,0.9365,0.9524
Cerber::rep3,Cerber,21,0.9048,0.9221,0.9221,0.9048
Cerber::rep4,Cerber,21,0.8095,0.7778,0.7778,0.8095
Cerber::rep5,Cerber,21,0.9048,0.9221,0.8964,0.9063
Dharma::rep1,Dharma,21,0.8571,0.8606,0.8518,0.8585
Dharma::rep2,Dharma,21,0.8571,0.8571,0.582,0.8783
Dharma::rep3,Dharma,21,0.8571,0.5714,0.5766,0.8328
Dharma::rep4,Dharma,21,0.7619,0.7833,0.5494,0.8201
Dharma::rep5,Dharma,21,0.8095,0.4792,0.4697,0.7879
WannaCry::rep1,WannaCry,21,0.9048,0.8556,0.8788,0.904
WannaCry::rep2,WannaCry,21,0.9048,0.8796,0.8775,0.9048
WannaCry::rep3,WannaCry,21,0.9524,0.9667,0.9348,0.9545
WannaCry::rep4,WannaCry,21,0.9524,0.9167,0.9348,0.9502
WannaCry::rep5,WannaCry,21,0.8571,0.8333,0.8222,0.8476
