held_out,family,n_test,accuracy,balanced_acc,macro_f1,weighted_f1
Benign::rep1,Benign,10,1.0,1.0,1.0,1.0
Benign::rep10,Benign,5,1.0,1.0,1.0,1.0
Benign::rep2,Benign,10,1.0,1.0,1.0,1.0
Benign::rep3,Benign,10,1.0,1.0,1.0,1.0
Benign::rep4,Benign,10,1.0,1.0,1.0,1.0
Benign::rep5,Benign,10,1.0,1.0,1.0,1.0
Benign::rep6,Benign,5,1.0,1.0,1.0,1.0
Benign::rep7,Benign,5,1.0,1.0,1.0,1.0
Benign::rep8,Benign,5,1.0,1.0,1.0,1.0
Benign::rep9,Benign,5,1.0,1.0,1.0,1.0
Cerber::rep1,Cerber,13,0.9231,0.9167,0.9302,0.9201
Cerber::rep2,Cerber,15,0.9333,0.9583,0.9111,0.9378
Cerber::rep3,Cerber,16,0.9375,0.9444,0.9501,0.9365
Cerber::rep4,Cerber,16,0.75,0.563,0.563,0.7278
Cerber::rep5,Cerber,16,0.8125,0.8611,0.7919,0.8242
Dharma::rep1,Dharma,16,0.875,0.873,0.873,0.875
Dharma::rep2,Dharma,16,0.875,0.9,0.604,0.9017
Dharma::rep3,Dharma,16,0.8125,0.5556,0.5424,0.779
Dharma::rep4,Dharma,16,0.75,0.7636,0.5091,0.7773
Dharma::rep5,Dharma,16,0.8125,0.5278,0.5156,0.785
WannaCry::rep1,WannaCry,16,0.875,0.7917,0.819,0.8714
WannaCry::rep2,WannaCry,16,0.875,0.8413,0.8376,0.875
WannaCry::rep3,WannaCry,16,0.9375,0.8889,0.9077,0.9337
WannaCry::rep4,WannaCry,16,0.875,0.8413,0.8413,0.875
WannaCry::rep5,WannaCry,16,0.875,0.8333,0.8333,0.8646
