label,scenario,model,mean_accuracy,acc_ci95_lo,acc_ci95_hi,mean_balanced_acc,mean_macro_f1,f1_ci95_lo,f1_ci95_hi,mean_weighted_f1,train_accuracy,overfit_gap,conf_mean,conf_pct_90,n_train,n_test,benign_fpr,wtd_macro_f1,n_folds,n_instances
stage_binary,Standard 80/20,GradientBoosting,0.988,0.9639,1.0,0.9839,0.987,0.9584,1.0,0.9879,1.0,0.012,1.0,1.0,328.0,83.0,,,,
stage_binary,Standard 80/20,XGBoost,0.988,0.9639,1.0,0.9839,0.987,0.9584,1.0,0.9879,1.0,0.012,0.965,1.0,328.0,83.0,,,,
stage_binary,LOIO,GradientBoosting,0.9981,0.9944,1.0018,0.98,0.9795,0.9394,1.0197,0.9972,,,,,,,,0.9738,,25.0
stage_binary,LOIO,XGBoost,0.9961,0.9908,1.0014,0.9788,0.976,0.9356,1.0165,0.9953,,,,,,,,0.9696,,25.0
stage_binary,Standard 80/20,LogisticRegression,0.9759,0.9398,1.0,0.9808,0.9746,0.9332,1.0,0.976,0.9909,0.015,0.9487,0.8434,328.0,83.0,,,,
stage_binary,Standard 80/20,RandomForest,0.9759,0.9398,1.0,0.9677,0.9739,0.932,1.0,0.9757,1.0,0.0241,0.9974,0.988,328.0,83.0,,,,
stage_binary,Standard 80/20,ExtraTrees,0.9759,0.9398,1.0,0.9677,0.9739,0.932,1.0,0.9757,0.997,0.0211,0.9819,0.9398,328.0,83.0,,,,
stage_binary,LOIO,LogisticRegression,0.9806,0.9685,0.9928,0.9787,0.9543,0.9118,0.9969,0.9819,,,,,,,,0.9423,,25.0
stage_binary,LOIO,RandomForest,0.9924,0.9854,0.9994,0.9576,0.9534,0.8979,1.0089,0.9907,,,,,,,,0.9404,,25.0
behavior_stage,Standard 80/20,XGBoost,0.9518,0.9036,0.988,0.9636,0.95,0.8951,0.9896,0.952,1.0,0.0482,0.9163,0.7108,328.0,83.0,,,,
behavior_stage,LOIO,GradientBoosting,0.9653,0.947,0.9837,0.9446,0.9272,0.8755,0.9788,0.9653,,,,,,,,0.9075,,25.0
stage_binary,LOIO,ExtraTrees,0.9844,0.9754,0.9935,0.9398,0.9216,0.856,0.9873,0.9833,,,,,,,,0.9007,,25.0
behavior_stage,Standard 80/20,RandomForest,0.9157,0.8554,0.9759,0.9326,0.9204,0.8554,0.9724,0.9153,0.9726,0.0569,0.9489,0.8675,328.0,83.0,,,,
behavior_stage,Standard 80/20,GradientBoosting,0.9157,0.8551,0.9642,0.9242,0.918,0.8475,0.9703,0.9144,1.0,0.0843,0.9876,0.9639,328.0,83.0,,,,
behavior_stage,LOIO,XGBoost,0.963,0.9451,0.9809,0.9351,0.909,0.8478,0.9703,0.9654,,,,,,,,0.9061,,25.0
behavior_stage,Standard 80/20,ExtraTrees,0.8916,0.8193,0.9518,0.922,0.8858,0.8149,0.947,0.8946,0.9573,0.0657,0.9173,0.7952,328.0,83.0,,,,
behavior_stage,LOIO,LogisticRegression,0.9291,0.9001,0.9581,0.9011,0.8783,0.8146,0.942,0.9302,,,,,,,,0.8451,,25.0
behavior_stage,LOIO,RandomForest,0.9329,0.9012,0.9645,0.9152,0.8776,0.8103,0.945,0.9379,,,,,,,,0.8654,,25.0
behavior_stage,Standard 80/20,LogisticRegression,0.8795,0.7952,0.9398,0.8962,0.8749,0.7899,0.9373,0.8808,0.9665,0.087,0.8991,0.6867,328.0,83.0,,,,
behavior_stage,LOIO,ExtraTrees,0.9405,0.9136,0.9673,0.9154,0.8687,0.801,0.9364,0.9452,,,,,,,,0.854,,25.0
stage_binary,LOO,GradientBoosting,0.9077,0.7361,1.0794,0.8185,0.8189,0.6068,1.031,0.9184,,,,,,,0.0,0.8214,3.0,
stage_binary,LOO,XGBoost,0.7757,0.3453,1.2061,0.7868,0.7222,0.3314,1.1129,0.781,,,,,,,0.0,0.7271,3.0,
stage_binary,LOO,ExtraTrees,0.5613,0.1148,1.0077,0.4361,0.4511,0.1229,0.7793,0.5855,,,,,,,1.0,0.4548,3.0,
stage_binary,LOO,RandomForest,0.6723,0.3589,0.9858,0.4081,0.3916,0.2839,0.4992,0.6567,,,,,,,0.79,0.3926,3.0,
stage_binary,LOO,LogisticRegression,0.549,0.2086,0.8895,0.5933,0.3834,0.2048,0.5621,0.5394,,,,,,,0.96,0.3853,3.0,
behavior_stage,LOO,RandomForest,0.4829,0.2278,0.7379,0.4524,0.3676,0.1714,0.5639,0.5018,,,,,,,,0.37,3.0,
behavior_stage,LOO,ExtraTrees,0.4435,0.1223,0.7648,0.4053,0.2942,0.0965,0.4919,0.4724,,,,,,,,0.2963,3.0,
behavior_stage,LOO,LogisticRegression,0.4091,0.207,0.6112,0.3909,0.2887,0.1618,0.4156,0.4418,,,,,,,1.0,0.2903,3.0,
behavior_stage,LOO,XGBoost,0.3206,0.2396,0.4016,0.2556,0.2353,0.1797,0.2909,0.3798,,,,,,,1.0,0.2359,3.0,
behavior_stage,LOO,GradientBoosting,0.2506,0.1528,0.3485,0.3129,0.1947,0.0915,0.2979,0.2906,,,,,,,1.0,0.1951,3.0,
