label,scenario,model,mean_accuracy,acc_ci95_lo,acc_ci95_hi,mean_balanced_acc,mean_macro_f1,f1_ci95_lo,f1_ci95_hi,mean_weighted_f1,train_accuracy,overfit_gap,conf_mean,conf_pct_90,n_train,n_test,benign_fpr,wtd_macro_f1,n_folds,n_instances
stage_binary,Standard 80/20,LogisticRegression,0.9815,0.9444,1.0,0.9821,0.9815,0.941,1.0,0.9815,0.9858,0.0043,0.9103,0.7963,212.0,54.0,,,,
stage_binary,LOIO,ExtraTrees,0.9758,0.9568,0.9947,0.9738,0.9729,0.9512,0.9946,0.9752,,,,,,,,0.9664,,30.0
stage_binary,LOIO,RandomForest,0.9727,0.9515,0.9939,0.975,0.9714,0.9494,0.9935,0.973,,,,,,,,0.9646,,30.0
stage_binary,LOIO,LogisticRegression,0.9724,0.9529,0.992,0.9683,0.9685,0.9458,0.9912,0.9716,,,,,,,,0.9614,,30.0
stage_binary,LOIO,GradientBoosting,0.9724,0.9465,0.9984,0.9665,0.968,0.9379,0.998,0.9714,,,,,,,,0.9608,,30.0
stage_binary,Standard 80/20,RandomForest,0.963,0.9074,1.0,0.9615,0.9628,0.9048,1.0,0.9629,0.9811,0.0181,0.9371,0.8148,212.0,54.0,,,,
stage_binary,LOIO,XGBoost,0.9671,0.9376,0.9966,0.9595,0.9594,0.9219,0.9969,0.9656,,,,,,,,0.9539,,30.0
stage_hint,LOIO,XGBoost,0.9664,0.9361,0.9966,0.9583,0.9521,0.9119,0.9922,0.9639,,,,,,,,0.941,,30.0
stage_hint,Standard 80/20,RandomForest,0.9444,0.8704,1.0,0.9458,0.9458,0.8724,1.0,0.9444,0.9811,0.0367,0.8268,0.463,212.0,54.0,,,,
stage_binary,Standard 80/20,ExtraTrees,0.9444,0.8889,1.0,0.9423,0.944,0.8781,1.0,0.9442,0.9811,0.0367,0.928,0.8148,212.0,54.0,,,,
stage_hint,LOIO,RandomForest,0.9515,0.9117,0.9913,0.941,0.9435,0.8971,0.9899,0.947,,,,,,,,0.9299,,30.0
stage_hint,LOIO,ExtraTrees,0.947,0.9108,0.9833,0.9414,0.9404,0.8978,0.983,0.9431,,,,,,,,0.928,,30.0
stage_hint,LOIO,GradientBoosting,0.9576,0.9206,0.9946,0.95,0.9397,0.8859,0.9934,0.9553,,,,,,,,0.9251,,30.0
stage_hint,Standard 80/20,XGBoost,0.9444,0.8704,1.0,0.9333,0.9335,0.8448,1.0,0.943,1.0,0.0556,0.8464,0.5,212.0,54.0,,,,
stage_hint,Standard 80/20,GradientBoosting,0.9259,0.8519,0.9815,0.9333,0.9284,0.8477,0.9859,0.9265,1.0,0.0741,0.9863,0.963,212.0,54.0,,,,
stage_binary,Standard 80/20,XGBoost,0.9259,0.8519,0.9815,0.9245,0.9255,0.8485,0.9815,0.9257,0.9953,0.0694,0.9036,0.6481,212.0,54.0,,,,
stage_hint,Standard 80/20,ExtraTrees,0.9259,0.8519,0.9815,0.9333,0.9228,0.8306,0.9848,0.9267,0.9906,0.0647,0.8057,0.3704,212.0,54.0,,,,
stage_hint,LOIO,LogisticRegression,0.9198,0.8731,0.9665,0.9248,0.9108,0.8598,0.9618,0.9166,,,,,,,,0.8913,,30.0
behavior_stage,Standard 80/20,XGBoost,0.9259,0.8519,0.9815,0.8968,0.8885,0.7676,0.9825,0.9258,0.9953,0.0694,0.9195,0.7778,212.0,54.0,,,,
stage_hint,Standard 80/20,LogisticRegression,0.8704,0.7778,0.9444,0.8883,0.8777,0.7817,0.9571,0.873,0.9906,0.1202,0.8061,0.537,212.0,54.0,,,,
stage_binary,LOO,RandomForest,0.8752,0.7842,0.9661,0.8966,0.8716,0.7815,0.9617,0.877,,,,,,,0.92,0.8716,4.0,
behavior_stage,Standard 80/20,LogisticRegression,0.8889,0.7963,0.963,0.91,0.8674,0.7534,0.9568,0.8923,0.9764,0.0875,0.8524,0.5185,212.0,54.0,,,,
stage_binary,LOO,XGBoost,0.8702,0.789,0.9514,0.8838,0.8649,0.7822,0.9476,0.8725,,,,,,,0.88,0.8651,4.0,
behavior_stage,Standard 80/20,RandomForest,0.8889,0.8148,0.963,0.9029,0.8552,0.7343,0.9508,0.8932,0.967,0.0781,0.8986,0.6111,212.0,54.0,,,,
stage_binary,LOO,GradientBoosting,0.8619,0.8009,0.9229,0.8592,0.8496,0.7813,0.918,0.8612,,,,,,,0.74,0.8488,4.0,
behavior_stage,LOIO,GradientBoosting,0.9292,0.8998,0.9586,0.888,0.8485,0.7757,0.9213,0.9269,,,,,,,,0.8166,,30.0
behavior_stage,Standard 80/20,GradientBoosting,0.8704,0.7778,0.963,0.8623,0.8465,0.7228,0.9462,0.8727,1.0,0.1296,0.9817,0.9444,212.0,54.0,,,,
behavior_stage,Standard 80/20,ExtraTrees,0.8704,0.7778,0.9444,0.8914,0.8411,0.7157,0.9388,0.8752,0.934,0.0636,0.8877,0.5556,212.0,54.0,,,,
behavior_stage,LOIO,XGBoost,0.9346,0.9043,0.965,0.8871,0.8351,0.755,0.9152,0.9313,,,,,,,,0.8125,,30.0
stage_binary,Standard 80/20,GradientBoosting,0.8333,0.7407,0.9259,0.8352,0.8333,0.7314,0.9259,0.8332,1.0,0.1667,1.0,1.0,212.0,54.0,,,,
behavior_stage,LOIO,ExtraTrees,0.9225,0.8923,0.9527,0.8712,0.8124,0.7351,0.8898,0.919,,,,,,,,0.7736,,30.0
behavior_stage,LOIO,RandomForest,0.9158,0.8851,0.9466,0.8528,0.8056,0.7283,0.8829,0.9103,,,,,,,,0.7776,,30.0
behavior_stage,LOIO,LogisticRegression,0.9061,0.8665,0.9458,0.8454,0.7801,0.69,0.8702,0.9036,,,,,,,,0.7504,,30.0
stage_binary,LOO,LogisticRegression,0.7838,0.6771,0.8906,0.816,0.7795,0.6754,0.8836,0.7847,,,,,,,0.6,0.7782,4.0,
stage_binary,LOO,ExtraTrees,0.781,0.6754,0.8866,0.7647,0.7312,0.5618,0.9007,0.7612,,,,,,,0.9,0.7353,4.0,
stage_hint,LOO,XGBoost,0.6576,0.5906,0.7246,0.6207,0.5714,0.4506,0.6921,0.6528,,,,,,,0.94,0.5704,4.0,
stage_hint,LOO,ExtraTrees,0.5702,0.4814,0.6589,0.5586,0.5068,0.3654,0.6481,0.5953,,,,,,,1.0,0.5054,4.0,
stage_hint,LOO,GradientBoosting,0.5918,0.4434,0.7402,0.5753,0.4871,0.2726,0.7016,0.5869,,,,,,,0.8,0.4876,4.0,
stage_hint,LOO,RandomForest,0.6027,0.5047,0.7006,0.5733,0.4615,0.3172,0.6058,0.5782,,,,,,,0.98,0.4618,4.0,
behavior_stage,LOO,XGBoost,0.5845,0.4611,0.7079,0.4975,0.4567,0.3922,0.5212,0.5904,,,,,,,0.98,0.4562,4.0,
behavior_stage,LOO,RandomForest,0.5852,0.4504,0.7201,0.4784,0.4091,0.2687,0.5495,0.5835,,,,,,,1.0,0.4073,4.0,
stage_hint,LOO,LogisticRegression,0.4852,0.3026,0.6678,0.4964,0.3978,0.2579,0.5377,0.4833,,,,,,,0.8,0.3945,4.0,
behavior_stage,LOO,GradientBoosting,0.5663,0.4249,0.7078,0.4086,0.394,0.2524,0.5356,0.582,,,,,,,0.9,0.393,4.0,
behavior_stage,LOO,ExtraTrees,0.5369,0.3911,0.6827,0.4128,0.3683,0.2306,0.506,0.5525,,,,,,,1.0,0.3686,4.0,
behavior_stage,LOO,LogisticRegression,0.4712,0.4165,0.5258,0.3949,0.3649,0.2969,0.4329,0.5108,,,,,,,1.0,0.3647,4.0,
