held_out,family,n_test,accuracy,balanced_acc,macro_f1,weighted_f1
Benign::rep1,Benign,10,0.9,0.9,0.4737,0.9474
Benign::rep10,Benign,5,0.8,0.8,0.4444,0.8889
Benign::rep2,Benign,10,1.0,1.0,1.0,1.0
Benign::rep3,Benign,10,1.0,1.0,1.0,1.0
Benign::rep4,Benign,10,1.0,1.0,1.0,1.0
Benign::rep5,Benign,10,1.0,1.0,1.0,1.0
Benign::rep6,Benign,5,0.8,0.8,0.4444,0.8889
Benign::rep7,Benign,5,1.0,1.0,1.0,1.0
Benign::rep8,Benign,5,1.0,1.0,1.0,1.0
Benign::rep9,Benign,5,1.0,1.0,1.0,1.0
Cerber::rep1,Cerber,13,0.7692,0.619,0.563,0.7043
Cerber::rep2,Cerber,15,0.8667,0.7917,0.8169,0.8586
Cerber::rep3,Cerber,16,0.875,0.6667,0.6296,0.8194
Cerber::rep4,Cerber,16,0.8125,0.7593,0.7745,0.807
Cerber::rep5,Cerber,16,0.9375,0.8333,0.8693,0.9289
Dharma::rep1,Dharma,16,0.875,0.8889,0.875,0.875
Dharma::rep2,Dharma,16,0.875,0.9,0.873,0.877
Dharma::rep3,Dharma,16,0.8125,0.5926,0.5602,0.7847
Dharma::rep4,Dharma,16,0.875,0.9091,0.8667,0.8792
Dharma::rep5,Dharma,16,0.6875,0.4722,0.4209,0.697
Jigsaw::rep1,Jigsaw,16,0.875,0.8333,0.828,0.8496
Jigsaw::rep2,Jigsaw,16,0.875,0.8333,0.8393,0.8527
Jigsaw::rep3,Jigsaw,16,0.875,0.75,0.708,0.8177
Jigsaw::rep4,Jigsaw,16,0.9375,0.95,0.8889,0.9444
Jigsaw::rep5,Jigsaw,16,0.75,0.75,0.6583,0.6479
WannaCry::rep1,WannaCry,16,0.8125,0.8661,0.7726,0.8539
WannaCry::rep2,WannaCry,16,1.0,1.0,1.0,1.0
WannaCry::rep3,WannaCry,16,0.9375,0.9375,0.9143,0.9393
WannaCry::rep4,WannaCry,16,0.9375,0.9375,0.9143,0.9393
WannaCry::rep5,WannaCry,16,0.9375,0.95,0.9222,0.9403
